ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2024-10-10 00:00:00+00:00,10100000.0,2369.6,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-11 00:00:00+00:00,-100000.0,2385.24,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-14 00:00:00+00:00,17000000.0,2467.79,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-15 00:00:00+00:00,-12700000.0,2628.87,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-16 00:00:00+00:00,24200000.0,2607.95,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-17 00:00:00+00:00,48400000.0,2610.39,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-18 00:00:00+00:00,1900000.0,2605.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-21 00:00:00+00:00,-20800000.0,2746.98,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-22 00:00:00+00:00,11900000.0,2666.62,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-23 00:00:00+00:00,1200000.0,2621.79,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-24 00:00:00+00:00,2300000.0,2523.85,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-25 00:00:00+00:00,-19200000.0,2535.39,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-28 00:00:00+00:00,-1100000.0,2507.21,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-29 00:00:00+00:00,7600000.0,2566.48,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-30 00:00:00+00:00,4400000.0,2639.28,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-10-31 00:00:00+00:00,13000000.0,2659.35,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-01 00:00:00+00:00,-10900000.0,2518.37,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-04 00:00:00+00:00,-63200000.0,2457.3,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-05 00:00:00+00:00,0.0,2397.36,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-06 00:00:00+00:00,52300000.0,2421.41,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-07 00:00:00+00:00,79700000.0,2722.5,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-08 00:00:00+00:00,85900000.0,2895.76,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-11 00:00:00+00:00,295500000.0,3185.18,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-12 00:00:00+00:00,135900000.0,3375.02,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-13 00:00:00+00:00,146900000.0,3245.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
