ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-09-15 00:00:00+00:00,9.77,0.0368,26532.5,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-16 00:00:00+00:00,1.72,0.0065,26601.71,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-17 00:00:00+00:00,10.02,0.0377,26569.69,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-18 00:00:00+00:00,3.46,0.013,26530.96,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-19 00:00:00+00:00,1.53,0.0057,26764.03,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-20 00:00:00+00:00,6.27,0.023,27216.52,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-21 00:00:00+00:00,-2.36,-0.0087,27122.65,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-22 00:00:00+00:00,-3.54,-0.0133,26564.54,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-23 00:00:00+00:00,-1.74,-0.0065,26578.4,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-24 00:00:00+00:00,3.62,0.0136,26579.59,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-25 00:00:00+00:00,-0.22,-0.0008,26248.17,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-26 00:00:00+00:00,-8.73,-0.0332,26296.07,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-27 00:00:00+00:00,-13.25,-0.0505,26208.43,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-28 00:00:00+00:00,-15.44,-0.0585,26357.56,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-29 00:00:00+00:00,6.05,0.0224,27027.44,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-09-30 00:00:00+00:00,-1.39,-0.0052,26905.57,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-01 00:00:00+00:00,-1.57,-0.0058,26961.0,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-02 00:00:00+00:00,2.88,0.0103,27995.46,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-03 00:00:00+00:00,9.52,0.0346,27504.03,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-04 00:00:00+00:00,2.51,0.0092,27428.96,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-05 00:00:00+00:00,7.55,0.0272,27786.12,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-06 00:00:00+00:00,2.76,0.0101,27413.15,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-07 00:00:00+00:00,14.07,0.0504,27945.17,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-08 00:00:00+00:00,19.77,0.0707,27976.44,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-09 00:00:00+00:00,16.48,0.059,27933.54,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-10 00:00:00+00:00,6.55,0.0237,27596.67,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-11 00:00:00+00:00,3.16,0.0115,27393.28,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-12 00:00:00+00:00,-7.55,-0.0281,26867.97,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-13 00:00:00+00:00,-7.57,-0.0283,26752.06,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-14 00:00:00+00:00,1.54,0.0057,26863.54,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-15 00:00:00+00:00,-0.77,-0.0029,26851.71,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
